Heading,Summary,Link
Listen to ‘The Daily’,Georgia’s election meltdown.,/2020/06/11/podcasts/the-daily/georgia-general-election.html
In the ‘DealBook’ Newsletter,Did Washington get in Uber’s way?,/2020/06/11/business/dealbook/grubhub-uber-just-eat.html
The Book Review Podcast,A.O. Scott on the American novelist Wallace Stegner.,/2020/06/05/books/review/podcast-a-o-scott-wallace-stegner-sunny-days-david-kamp.html
Top U.S. Military Official Apologizes for Role in Trump Photo,"Gen. Mark A. Milley, the chairman of the Joint Chiefs of Staff, said that his presence “created a perception of the military involved in domestic politics.”Federal authorities had attacked peaceful protesters so that the president could hold up a Bible in front of St. John’s Church. Here’s the latest.",/2020/06/11/us/george-floyd-protests.html
Federal Arrests Show No Sign That Antifa Plotted Protests,"Despite claims by President Trump and Attorney General William P. Barr, there is scant evidence that loosely organized anti-fascists are significant players in the protests.",/2020/06/11/us/antifa-protests-george-floyd.html
"For the U.S. Policing Crisis, Hard Lessons From Other Countries","Those who want to remake a police model that has set off unrest and despair would do well to look at the experiences of Asia, Africa and Europe.",/2020/06/11/world/police-brutality-protests.html
Business Updates: Stocks Fall Sharply as Virus Cases Tick Up,The S&P 500 was on track for its sharpest daily decline in more than a month. Here’s the latest.,/2020/06/11/business/stock-market-tracker-coronavirus.html
"Economics, Dominated by White Men, Is Roiled by Black Lives Matter",The editor of a top academic journal is facing calls to resign after criticizing protesters as “flat earthers” for wanting to defund the police.,/2020/06/10/business/economy/white-economists-black-lives-matter.html
Sobering Jobs Outlook: ‘We’re Expecting a Long Haul’,More than 1.5 million sought state unemployment benefits last week as layoffs spread to more job categories even as businesses reopened.,/2020/06/11/business/economy/unemployment-claims-coronavirus.html
Known Cases in Africa Have Doubled in 18 Days,"Cases in Africa have doubled in recent weeks, rising to more than 200,000, the W.H.O. said.A variety of companies across the country have begun requiring customers and workers to sign liability waivers pledging not to sue if they become infected.Joe Biden unveiled an eight-part plan for reopening the economy and faulted President Trump for his handling of the crisis. Here’s the latest.",/2020/06/11/world/coronavirus-live-updates.html
"As Coronavirus Infections Climb, Washington Moves On to Other Business","New cases are rising in almost half of the states. But in the capital, restless lawmakers and White House officials appear ready to focus on other subjects.",/2020/06/10/us/politics/coronavirus-washington-trump.html
"Covid-19 Patient Gets Double Lung Transplant, Offering Hope for Others","The operation is believed to be the first of its kind in the U.S. The patient, a woman in her 20s, had been healthy, but the coronavirus devastated her lungs.",/2020/06/11/health/coronavirus-lung-transplant.html
New York’s Protests Don’t Have a Leader. They Have Many.,"They’re young, charismatic and drawing crowds of thousands around the city.",/2020/06/11/nyregion/nyc-george-floyd-protests.html
Why Are So Many N.Y.P.D. Officers Refusing to Wear Masks at Protests?,"Though the city is recording hundreds of new coronavirus cases each week and some officers have died, many are not heeding instructions to cover their faces.",/2020/06/11/nyregion/nypd-face-masks-nyc-protests.html
"Drawing on Decades of Activism, Karen Bass Leads Democrats’ Policing Overhaul","The California congresswoman, who was the first black woman speaker of a state legislature, has navigated internal divides to produce the expansive bill.",/2020/06/10/us/politics/karen-bass.html
"Joe Biden, Emissary of Grief",Mr. Biden’s entire political career has been marked by personal loss. His allies say that makes him uniquely capable of leading a nation grappling with death.,/2020/06/11/us/politics/joe-biden-funeral-speech.html
Biden Readies Attack on Facebook’s Speech Policies,The campaign will urge its supporters to push the social media giant to strengthen its rules against misinformation and harmful comments.,/2020/06/11/technology/biden-facebook-misinformation.html
"G.O.P. Platform, Rolled Over From 2016, Condemns the ‘Current President’",The party’s 2020 platform includes more than three dozen unflattering references to those in power at the White House.,/2020/06/11/us/politics/republican-platform.html
One Bar. Twelve Weeks. Seventeen Lives in Lockdown.,Following an Oakland tavern and its staff — from the tattooed bartender to the undocumented cleaner — as they weather the fallout of the coronavirus.,/2020/06/11/business/coronavirus-california-lockdown-small-business.html
The Scandal of the Predatory City,Local governments should not shore up their budgets by preying on the very people Covid-19 hit the hardest.,/2020/06/11/opinion/coronavirus-cities-property-taxes.html
"Senator Grassley, Don’t Back Down",Congress is still owed answers about President Trump’s dismissal of inspectors general.,/2020/06/10/opinion/trump-inspectors-general-grassley.html
Why Does Trump Lie?,None,/2020/06/11/opinion/trump-lies.html
The Civil Rights Act of 2020,None,/2020/06/10/opinion/police-brutality-protests-legislation.html
Trump Trembles: Mitt’s on the Move,None,/2020/06/10/opinion/trump-romney-murkowski.html
Inequalities Existed in New York Long Before The Pandemic,None,/interactive/2020/06/11/multimedia/coronavirus-new-york-inequality.html
Tom Cotton’s Whitewashing,None,/2020/06/10/opinion/tom-cotton-oped-nyt.html
The Longest Lockdown,None,/2020/06/11/opinion/kashmir-lockdown-india.html
When It Works to ‘Defund the Police’,None,/2020/06/10/opinion/defund-police-floyd-protests.html
Why Isn’t the Stock Market Reading the Room?,None,/2020/06/09/opinion/stock-market-coronavirus.html
The Floyd Protests Show That Twitter Is Real Life,None,/2020/06/10/opinion/twitter-protest-politics.html
Jimmy Fallon Is Sorry. But What Does That Mean?,The “Tonight Show” host was forced to publicly reckon with a blackface clip from his past and his own role in systemic racism.,/2020/06/11/arts/television/jimmy-fallon.html
Broadway in Trying Times: Join Us for Conversation and Song,"The debut installment of “Offstage,” a New York Times streaming series about the theater world on pause, explores the season that was and wasn’t.",/2020/06/10/theater/offstage-broadway-new-york-times.html
Scouring the South Bronx for an Income-Producing Home,"With a budget of $800,000 for a two-family house or $1 million for a three-family, a couple went in search of a place in move-in condition. Here’s what they found.",/interactive/2020/06/11/realestate/11hunt-holmes.html
